股票名称,股票代码
中际旭创,300308
新易盛,300502
天孚通信,300394
工业富联,601138
浪潮信息,000977
寒武纪,688256
拓维信息,002261
中科曙光,603019
赛力斯,601127
宁德时代,300750
比亚迪,002594
北方华创,002371
中芯国际,688981
海光信息,688041
长电科技,600584
三花智控,002050
鸣志电器,603728
绿的谐波,688017
中信证券,600030
东方财富,300059
药明康德,603259
