股票名称,股票代码,所属题材,关注级别,持仓状态,成本价,备注
内蒙一机,600967,军工,高,持有,21,关注军工催化和公告
比亚迪,002594,新能源/军工,中,观察,,关注出口、储能、军工传闻
南钢股份,600282,数据要素,中,观察,,关注数据资产和钢铁板块
